blockNumber,fee_in_ETH,fee_in_stETH
18215160,0.0004776535668541822,0
18215440,0.0019456560385050748,0
18215581,1.009084335567659e-06,0
18215784,0.00010023289813376132,0
18215935,1.999604066749963e-06,0
18216145,1.0215640053144416e-06,0
18216158,1.0215639968068492e-06,0
18216203,1.0215639882992573e-06,0
18216242,0.06019226139985462,0
18216242,0,0.022984123115112453
18216242,0.022968150067543047,0
18216242,0,0.023408718120954682
18216320,0,0.0006108641386162366
18216532,6.293247023618406e-07,0
18216563,0,0.002000970054100552
18216894,0,0.015009063039282294
18216916,0,0.005001666210997372
18216986,0,7.502344100842015e-05
18217077,0,0.00282805017264623
18217087,0.0028266247378959256,0
18217176,5.825986023905591e-06,0
18217236,0,0.0006223927242439509
18217406,0.0005987113806268794,0
18217716,0,0.01480001662835764
18217716,0,1.666652070050029e-07
18217793,0,0.03166093169898996
18217797,0.003422408894488196,0
18217816,0.001797065045923235,0
18217851,0.00047934085072978157,0
18217993,1.2845537261325972e-05,0
18218010,1.019600379082782e-05,0
18218042,0.002510409816165069,0
18218117,0.002698977928901455,0
18218118,0.0003080022615798751,0
18218118,0.0016491627273156845,0
18218154,0,0.00030001704751813496
18218338,6.913613640597856e-05,0
18218412,3.270941241605306e-06,0
18218456,9.914177343510461e-07,0
18218480,0,0.0001257602877068968
18218491,3.845736023404677e-05,0
18218491,0.005513856442797191,0
18218553,0.005999207642983304,0
18218566,8.039771840649895e-07,0
18218658,0.0006998098494795696,0
18218690,0,4.975742277166217e-09
18218700,0.000499924391340248,0
18218754,9.998463369985149e-05,0
18219190,0.006910740319572971,0
18219239,0,0.0007828691412273235
18219280,0.0549158767431549,0
18219280,0,0.022122016280437192
18219306,0,0.00010001878324456423
18219313,0,0.03281105724498217
18219445,8.057831705304207e-07,0
18219503,0,0.0010001992417948019
18219707,0.00010033655500357078,0
18219884,0,0.007857955456559975
18219908,0.00024996677447151503,0
18219935,2.9200206943365037e-05,0
18219998,4.9993111752861475e-05,0
18220165,9.99861623644437e-05,0
18220210,0,0.007538249088861838
18220230,1.26682013616444e-05,0
18220253,0.0020831249582836326,0
18220552,0.00034620262869081397,0
18220614,0.00489942565470261,0
18220652,0.0005031337204126954,0
18220653,0.002070597245293673,0
18221624,0,0.01032363516782508
18221651,0,0.0005191788440978014
18221686,0.043125236304872076,0
18221710,0.029983696391331995,0
18221711,0,0.025738840887007116
18221717,0,0.0019390690061668885
18221781,0,0.00010004399606614886
18221858,0,0.0030006442764444136
18221861,0,0.0030006775317267
18221939,0,0.00014905811239350751
18222111,0,0.0011143773571341213
18222443,0,0.005702035355202101
18222501,0.00019993309165640725,0
18222872,0,0.0015755182487949108
18222922,0,0.02497732471608616
18222923,0.002499676980753577,0
18223502,0.0004214174569833716,0
18223504,0.0001004806054885749,0
18223591,3.999424766152738e-05,0
18223595,0.0003199535119623836,0
18223713,0.000999849347202046,0
18223726,1.764903585251385e-05,0
18223971,2.66479874592593e-06,0
18223973,2.6646480719968962e-06,0
18223975,2.6646481093773004e-06,0
18223978,2.6646480038814306e-06,0
18224249,0.020102795454819862,0
18224785,0.0006795173716231212,0
18224890,0.00012837650016211965,0
18225005,0.00010000482455502739,0
18225012,0.00010280487419162068,0
18225027,0,2.999858658864921e-05
18225054,0.00029581390843973047,0
18225081,0,0.0002999861875399429
18225140,1.3229786890707618e-05,0
18225153,5.3809881333252e-05,0
18225159,0.0001391085702677667,0
18225195,1.0324640086122385e-06,0
18225248,5.543478985328725e-07,0
18225264,3.0253558633828327e-05,0
